Observation ID,Target name,Target Desc.,RA,Dec,Instrument,Obs. Mode,Proposal,PI Name,Proc. Level,Start Time,Duration (s),Filter,Detector
jw02457052001_03102_00006_nrs1,SDSS-J083200.20+161500.3,SREGION=POLYGON ICRS  128.000175694 16.249496526 128.000175694 16.250718748 128.001564515 16.250718748 128.001564515 16.249496526|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J083200.20+161500.3,128.0008701046853,16.250107637560916,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",1,59922.35978313658,729.444,F170LP;G235H,NRS1
jw02155-o007_t007_miri_ch1-long,J1138+5245,SREGION=POLYGON ICRS  174.652424078 52.752354682 174.652424078 52.754015793 174.655287964 52.754015793 174.655287964 52.752354682|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,174.65385602113923,52.7531852408492,MIRI/IFU,MIR_MRS,2155,"Kulkarni, Varsha Purushottam",3,59983.0561942162,1587.324,CH1-LONG,MIRIFUSHORT
jw02155-o003_t003_miri_ch1-long,J0901+2044,SREGION=POLYGON ICRS  135.343597183 20.745490974 135.343597183 20.747007640 135.345373480 20.747007640 135.345373480 20.745490974|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,135.34448533073737,20.74624930776339,MIRI/IFU,MIR_MRS,2155,"Kulkarni, Varsha Purushottam",3,60051.177176212965,333.004,CH1-LONG,MIRIFUSHORT
jw02457001001_04101_00010_nrs2,SDSS-J221524.00-005643.8,SREGION=POLYGON ICRS  333.849369174 -0.946151022 333.849369174 -0.944817688 333.850647127 -0.944817688 333.850647127 -0.946151022|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J221524.00-005643.8,333.8500102473982,-0.9454843609330481,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",2,59906.805567951385,729.444,F170LP;G235H,NRS2
jw01198011001_02101_00004_nrs2,HB89-1115+080,SREGION=POLYGON ICRS  169.570182525 7.765768859 169.571047140 7.766005637 169.570805933 7.766832055 169.569941137 7.766595400|TARGCAT=Galaxy|TARGDESC=Elliptical galaxies; Quasars|TARGET_DESCRIP=Galaxy; Elliptical galaxies; Quasars|TARGNAME=[HB89] 1115+080,169.57049416646282,7.76630049473917,NIRSPEC/IFU,NRS_IFU,1198,"Stiavelli, Massimo",2,60060.8659612037,3501.334,F100LP;G140M,NRS2
jw02457001001_04101_00010_nrs2,SDSS-J221524.00-005643.8,SREGION=POLYGON ICRS  333.849369174 -0.946151022 333.849369174 -0.944817688 333.850647127 -0.944817688 333.850647127 -0.946151022|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J221524.00-005643.8,333.8500102473982,-0.9454843609330481,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",1,59906.805567951385,729.444,F170LP;G235H,NRS2
jw02057004001_03101_00002_nrs2,RM052,SREGION=POLYGON ICRS  213.209317703 53.289205444 213.209299456 53.288316707 213.210738563 53.288316340 213.210757122 53.289205214|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,213.21002823021232,53.288760942629686,NIRSPEC/IFU,NRS_IFU,2057,"Shen, Yue",2,60026.68690930556,598.144,F100LP;G140M,NRS2
jw02057-o018_t009_nirspec_g140m-f100lp,RM549,SREGION=POLYGON ICRS  214.129799443 54.288114009 214.129799443 54.289558453 214.132369303 54.289558453 214.132369303 54.288114009|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,214.13108437154597,54.28883623407447,NIRSPEC/IFU,NRS_IFU,2057,"Shen, Yue",3,60065.49234456018,2392.576,F100LP;G140M,NRS1
jw01335-c1005_t008_miri_ch1-short,SDSSJ1652-MIRI,SREGION=POLYGON ICRS  253.010233513 17.480561844 253.010233513 17.481861844 253.011823624 17.481861844 253.011823624 17.480561844|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Emission line galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Emission line galaxies; Quasars|TARGNAME=SDSSJ1652+1728,253.0110285702487,17.481211843166435,MIRI/IFU,MIR_MRS,1335,"Wylezalek, Dominika",3,60015.051665439816,11084.924,CH1-SHORT,MIRIFUSHORT
jw01198011001_02101_00004_nrs2,HB89-1115+080,SREGION=POLYGON ICRS  169.570182525 7.765768859 169.571047140 7.766005637 169.570805933 7.766832055 169.569941137 7.766595400|TARGCAT=Galaxy|TARGDESC=Elliptical galaxies; Quasars|TARGET_DESCRIP=Galaxy; Elliptical galaxies; Quasars|TARGNAME=[HB89] 1115+080,169.57049416646282,7.76630049473917,NIRSPEC/IFU,NRS_IFU,1198,"Stiavelli, Massimo",1,60060.8659612037,3501.334,F100LP;G140M,NRS2
