jw02057-o020_t010_nirspec_g140m-f100lp
jw01217-o015_t015_nirspec_g235h-f170lp
jw02654001001_03101_00006_nrs2
jw02155005001_03102_00003_mirifushort
jw03869-c1021_t023_miri_ch2-short
jw02057006001_03101_00002_nrs2
jw02177-o001_t001_miri_ch1-long
jw02155-o007_t007_miri_ch1-long
jw02057-o012_t006_nirspec_g140m-f100lp
jw02155-o003_t003_miri_ch1-long
jw01205-o001_t001_nirspec_g235m-f170lp
jw02057002001_02101_00004_nrs1
jw02457001001_04101_00010_nrs2
jw02155008001_03106_00003_mirifushort
jw01198011001_02101_00004_nrs2
jw02057-o010_t005_nirspec_g140m-f100lp
jw01205-o004_t003_nirspec_g235m-f170lp
jw02057-o018_t009_nirspec_g140m-f100lp
jw02155-o006_t006_miri_ch1-long
jw02057014001_02101_00002_nrs2
jw02057008001_03101_00002_nrs2
jw02057016001_02101_00002_nrs2
jw02701-o001_t001_nirspec_g235h-f170lp
jw03428-o026_t026_nirspec_g235h-f170lp
jw03428020001_02101_00002_nrs2
jw03428-o010_t010_nirspec_g235h-f170lp
jw03428-o008_t008_nirspec_g235h-f170lp
jw03428-o009_t009_nirspec_g235h-f170lp
jw03428-o018_t018_nirspec_g235h-f170lp
jw03428024001_02101_00002_nrs2
jw03428-o025_t025_nirspec_g235h-f170lp
jw03428-o032_t032_nirspec_g235h-f170lp
jw03428-o034_t034_nirspec_g235h-f170lp
jw03428019001_02101_00002_nrs1
jw03428-o005_t005_nirspec_g235h-f170lp
jw03428-o016_t016_nirspec_g235h-f170lp
jw03428-o007_t007_nirspec_g235h-f170lp
jw02654007001_04101_00002_nrs1
jw02457052001_03102_00006_nrs1
jw02155004001_03102_00003_mirifushort
jw02457-o005_t005_nirspec_g235h-f170lp
jw02046-o017_t016_miri_f560w-brightsky
jw05893011002_03101_00001_nrca4
jw03158003001_08101_00003_mirifulong
jw01335-c1003_t002_miri_ch1-short
jw02177-c1005_t003_miri_ch1-long
jw02457003001_03101_00006_nrs1
jw03158-o004_t004_miri_ch1-short
jw01220002001_03101_00004_nrs2
jw02457-o054_t004_nirspec_g235h-f170lp
jw03257-o008_t008_miri_ch1-long
jw02057004001_03101_00002_nrs2
jw02155-o002_t002_miri_ch1-long
jw01335-c1005_t008_miri_ch1-short
